Table S3 - Differentially expressed genes between paired epithelial and stromal LCM samples (FDR < 0.05)						
GeneSymbol	log2FC	Predicted_Compartment				
SEPN1	1.04	Stromal				
HERPUD1	1.04	Stromal				
GIT2	1.04	Stromal				
PTPRM	1.04	Stromal				
GOPC	1.04	Stromal				
CD68	1.03	Stromal				
FTO	1.03	Stromal				
RCN1	1.02	Stromal				
KDSR	1.02	Stromal				
EGR1	1.02	Stromal				
TRPS1	1.02	Stromal				
SIK1	1.02	Stromal				
TEAD1	1.02	Stromal				
RSU1	1.01	Stromal				
AAK1	1.01	Stromal				
SH3D19	1.01	Stromal				
HEPH	1.01	Stromal				
CTDSP2	1.00	Stromal				
PURA	1.00	Stromal				
DDX60	-1.00	Epithelial				
FAR1	-1.00	Epithelial				
H2AFZ	-1.00	Epithelial				
SLC18A2	-1.01	Epithelial				
ANXA2	-1.01	Epithelial				
PGM2L1	-1.01	Epithelial				
WWP1	-1.01	Epithelial				
C1orf9	-1.01	Epithelial				
DHRS3	-1.01	Epithelial				
GNE	-1.02	Epithelial				
RALGPS2	-1.02	Epithelial				
PTPRJ	-1.02	Epithelial				
ZDHHC9	-1.02	Epithelial				
ST3GAL1	-1.03	Epithelial				
ATAD2	-1.03	Epithelial				
ATP11A	-1.03	Epithelial				
LIMA1	-1.05	Epithelial				
GFPT1	-1.05	Epithelial				
HSP90AA1	-1.05	Epithelial				
ACBD5	-1.05	Epithelial				
FBL	-1.05	Epithelial				
C20orf112	-1.05	Epithelial				
NFE2L3	-1.06	Epithelial				
ATP9A	-1.06	Epithelial				
ANXA2P2	-1.06	Epithelial				
TMEM33	-1.07	Epithelial				
LMO7	-1.07	Epithelial				
LCOR	-1.07	Epithelial				
CCDC6	-1.07	Epithelial				
CHP	-1.07	Epithelial				
CERS2	-1.08	Epithelial				
WEE1	-1.08	Epithelial				
PARP4	-1.08	Epithelial				
TAX1BP1	-1.09	Epithelial				
TMEM41B	-1.09	Epithelial				
RAB11A	-1.09	Epithelial				
TM7SF3	-1.10	Epithelial				
NOP58	-1.10	Epithelial				
NET1	-1.10	Epithelial				
HSD17B12	-1.10	Epithelial				
APLP2	-1.11	Epithelial				
NPNT	-1.11	Epithelial				
ZNF664	-1.11	Epithelial				
STK24	-1.11	Epithelial				
CPD	-1.11	Epithelial				
KIAA1598	-1.12	Epithelial				
TNIK	-1.12	Epithelial				
C1orf27	-1.13	Epithelial				
SLC25A5	-1.13	Epithelial				
TMEM123	-1.13	Epithelial				
VDAC1	-1.13	Epithelial				
GATA6	-1.13	Epithelial				
PMEPA1	-1.13	Epithelial				
LRRC16A	-1.13	Epithelial				
FMN1	-1.13	Epithelial				
MYO6	-1.13	Epithelial				
RCOR1	-1.13	Epithelial				
YWHAZ	-1.14	Epithelial				
IER3	-1.14	Epithelial				
MTUS1	-1.15	Epithelial				
MTRNR2L2	-1.15	Epithelial				
LRRFIP1	-1.15	Epithelial				
PKP4	-1.15	Epithelial				
CSTB	-1.16	Epithelial				
CYCS	-1.16	Epithelial				
C10orf118	-1.17	Epithelial				
FXYD5	-1.17	Epithelial				
CAMK2N1	-1.17	Epithelial				
TMCO1	-1.18	Epithelial				
KIF13B	-1.18	Epithelial				
SLC41A2	-1.18	Epithelial				
MKI67	-1.19	Epithelial				
FLNB	-1.20	Epithelial				
PAICS	-1.20	Epithelial				
PLEKHA1	-1.21	Epithelial				
ASAP2	-1.21	Epithelial				
QSOX1	-1.21	Epithelial				
HDGF	-1.21	Epithelial				
LCLAT1	-1.22	Epithelial				
PTPRK	-1.23	Epithelial				
TNFSF10	-1.23	Epithelial				
CTAGE5	-1.23	Epithelial				
ARHGAP12	-1.23	Epithelial				
TMBIM1	-1.23	Epithelial				
CERS6	-1.24	Epithelial				
EPB41L1	-1.24	Epithelial				
ACACA	-1.24	Epithelial				
FGD4	-1.24	Epithelial				
SMAD3	-1.25	Epithelial				
RNF103	-1.25	Epithelial				
S100A10	-1.26	Epithelial				
CFB	-1.26	Epithelial				
BCL2L1	-1.27	Epithelial				
TFRC	-1.27	Epithelial				
MCU	-1.27	Epithelial				
PDZD8	-1.27	Epithelial				
SORL1	-1.27	Epithelial				
C14orf1	-1.28	Epithelial				
ADAM9	-1.28	Epithelial				
EPT1	-1.28	Epithelial				
GOLPH3L	-1.29	Epithelial				
PVRL3	-1.29	Epithelial				
CLDN1	-1.30	Epithelial				
HSPD1	-1.30	Epithelial				
AIM1	-1.31	Epithelial				
SYPL1	-1.32	Epithelial				
TRIB1	-1.33	Epithelial				
HSD17B11	-1.33	Epithelial				
FRMD4B	-1.33	Epithelial				
MBNL3	-1.33	Epithelial				
LMTK2	-1.35	Epithelial				
TAGLN2	-1.37	Epithelial				
KIF20B	-1.37	Epithelial				
ARHGAP32	-1.38	Epithelial				
PLBD1	-1.38	Epithelial				
RIOK3	-1.38	Epithelial				
SYNE2	-1.38	Epithelial				
CLINT1	-1.38	Epithelial				
ABHD2	-1.39	Epithelial				
TXN	-1.39	Epithelial				
TRIM29	-1.39	Epithelial				
TCF7L2	-1.39	Epithelial				
ALDH3A2	-1.40	Epithelial				
GSTP1	-1.40	Epithelial				
ASPH	-1.40	Epithelial				
CMPK1	-1.40	Epithelial				
MBOAT2	-1.41	Epithelial				
NTN4	-1.41	Epithelial				
SLC2A1	-1.42	Epithelial				
MCCC2	-1.43	Epithelial				
TRAK1	-1.43	Epithelial				
LAPTM4B	-1.43	Epithelial				
CD46	-1.43	Epithelial				
AK4	-1.43	Epithelial				
ACVR1B	-1.44	Epithelial				
GOLM1	-1.45	Epithelial				
ABLIM1	-1.45	Epithelial				
IDI1	-1.45	Epithelial				
FAM59A	-1.46	Epithelial				
ETNK1	-1.46	Epithelial				
FDFT1	-1.48	Epithelial				
HK2	-1.48	Epithelial				
TSPAN3	-1.48	Epithelial				
OSBPL3	-1.49	Epithelial				
SLC40A1	-1.49	Epithelial				
S100A6	-1.51	Epithelial				
SSFA2	-1.51	Epithelial				
MFSD6	-1.52	Epithelial				
HMGCS1	-1.53	Epithelial				
ITGA2	-1.54	Epithelial				
KIAA0319L	-1.54	Epithelial				
AHNAK2	-1.55	Epithelial				
PTGS2	-1.55	Epithelial				
LY6E	-1.56	Epithelial				
CENPF	-1.56	Epithelial				
SRD5A3	-1.56	Epithelial				
HDAC1	-1.56	Epithelial				
CAPN5	-1.56	Epithelial				
ATP1A1	-1.57	Epithelial				
SERPINB1	-1.58	Epithelial				
BACE2	-1.59	Epithelial				
OAS1	-1.59	Epithelial				
SLMO2	-1.60	Epithelial				
SLC7A1	-1.60	Epithelial				
KIAA1671	-1.60	Epithelial				
ARHGAP26	-1.60	Epithelial				
ARL6IP1	-1.61	Epithelial				
LGALS3	-1.61	Epithelial				
LOC400986	-1.62	Epithelial				
ERO1L	-1.63	Epithelial				
DPP4	-1.63	Epithelial				
MGLL	-1.64	Epithelial				
GALNT5	-1.65	Epithelial				
SRPK1	-1.65	Epithelial				
KIF21A	-1.67	Epithelial				
LGR4	-1.67	Epithelial				
MSMO1	-1.68	Epithelial				
HMGCR	-1.68	Epithelial				
IFI27	-1.69	Epithelial				
IDH1	-1.69	Epithelial				
GALNT7	-1.71	Epithelial				
SH3RF1	-1.71	Epithelial				
DUSP6	-1.72	Epithelial				
PVRL2	-1.72	Epithelial				
TJP2	-1.72	Epithelial				
CLMN	-1.73	Epithelial				
EFNB2	-1.74	Epithelial				
EFNA5	-1.75	Epithelial				
CD2AP	-1.75	Epithelial				
GPD2	-1.75	Epithelial				
LYZ	-1.76	Epithelial				
SH3BGRL2	-1.76	Epithelial				
JUP	-1.76	Epithelial				
ADAM28	-1.77	Epithelial				
RAB11FIP1	-1.78	Epithelial				
ATP8B1	-1.78	Epithelial				
MAP3K13	-1.79	Epithelial				
NCEH1	-1.82	Epithelial				
EXPH5	-1.83	Epithelial				
CHD7	-1.84	Epithelial				
PPA1	-1.85	Epithelial				
STK39	-1.86	Epithelial				
DSC2	-1.86	Epithelial				
INPP4B	-1.87	Epithelial				
PKP2	-1.87	Epithelial				
FAM135A	-1.87	Epithelial				
RALGAPA2	-1.87	Epithelial				
SLC38A1	-1.88	Epithelial				
CLDN12	-1.88	Epithelial				
ZNF33B	-1.88	Epithelial				
MYO5B	-1.90	Epithelial				
GATM	-1.91	Epithelial				
ITGB8	-1.92	Epithelial				
SERINC2	-1.92	Epithelial				
TOP2A	-1.93	Epithelial				
TRIM2	-1.93	Epithelial				
SQLE	-1.94	Epithelial				
TNFRSF21	-1.99	Epithelial				
TOB1	-2.00	Epithelial				
TM4SF1	-2.00	Epithelial				
ASPM	-2.01	Epithelial				
C1GALT1	-2.02	Epithelial				
ITGA3	-2.02	Epithelial				
SYNGR2	-2.02	Epithelial				
SERPINA1	-2.03	Epithelial				
SLC9A3R1	-2.03	Epithelial				
AFAP1-AS1	-2.04	Epithelial				
SCD	-2.05	Epithelial				
LAMB3	-2.06	Epithelial				
F11R	-2.07	Epithelial				
CDCP1	-2.08	Epithelial				
HMGA1	-2.09	Epithelial				
RAB27B	-2.11	Epithelial				
CYP51A1	-2.12	Epithelial				
F2RL1	-2.14	Epithelial				
LDLR	-2.17	Epithelial				
ANLN	-2.18	Epithelial				
AHCYL2	-2.18	Epithelial				
DSG2	-2.19	Epithelial				
PYGB	-2.19	Epithelial				
TMEM30B	-2.19	Epithelial				
SERPINA3	-2.20	Epithelial				
SLC4A4	-2.20	Epithelial				
MANSC1	-2.20	Epithelial				
SEMA4B	-2.20	Epithelial				
ITPR3	-2.21	Epithelial				
KRT7	-2.21	Epithelial				
PERP	-2.23	Epithelial				
INADL	-2.24	Epithelial				
